months_as_customer,age,policy number,policy deductable,premium,umbrella limit,zip code,capital gains,capital loss,incident hour of day,number of vehicle involved,bodily injuries,number of witnesses,total claim amount,injury claim,property claim,vehicle claim,car date,fraud?
199,37,982871,500,1262,0,474615,48500,0,4,1,0,3,60170,10940,10940,38290,2011,1
79,26,206213,500,1452,0,456446,0,-55700,19,1,2,2,40000,8000,4000,28000,2010,0
116,34,616337,500,1738,0,470577,0,-24100,1,1,1,1,97080,16180,16180,64720,2001,1
37,23,448961,500,1476,0,441648,0,-67400,17,3,1,0,51660,5740,5740,40180,2010,0
106,30,790442,500,538,0,433782,49700,-60200,23,1,2,2,51120,5680,5680,39760,2005,0
269,44,108844,2000,1081,0,468104,36400,-28700,14,1,0,2,56400,11280,11280,33840,2014,0
265,40,430029,1000,1454,0,459407,0,0,17,3,2,3,55120,6890,0,48230,2002,0
163,33,529112,500,1240,0,472573,35300,0,11,3,1,1,77110,0,14020,63090,2014,0
355,47,939631,2000,1274,4000000,433473,0,0,19,3,2,1,62800,6280,6280,50240,2003,1
175,34,866931,1000,1124,8000000,446326,0,0,5,1,2,0,7290,810,810,5670,1995,0
192,35,582011,1000,1246,0,435481,0,-40300,19,1,0,0,76600,15320,7660,53620,2000,0
430,59,691189,2000,1327,7000000,477310,0,0,19,3,0,3,81800,16360,8180,57260,1998,0
91,27,537546,2000,1074,0,609930,0,0,4,1,1,2,7260,1320,660,5280,2008,0
217,39,394975,1000,1531,0,603993,0,0,8,1,2,1,4300,430,430,3440,2000,0
223,40,729634,500,1201,0,437818,88400,-46500,7,3,1,0,70510,12820,12820,44870,1999,0
195,39,282195,1000,1394,0,478423,47600,-39600,5,1,0,1,2640,480,480,1680,2009,0
22,26,420810,1000,1277,0,467784,71500,0,3,1,1,2,78900,15780,7890,55230,1995,0
439,56,524836,500,1082,0,606714,36100,-55000,12,3,2,3,56430,0,6270,50160,2014,0
94,32,307195,1000,1415,0,464691,0,0,19,1,1,3,2400,300,300,1800,2014,0
11,39,623648,2000,1470,0,431683,56600,-45800,22,1,0,1,65790,7310,7310,51170,2007,0
151,36,485372,2000,871,0,431725,94800,-58500,12,3,1,1,62920,11440,5720,45760,2000,0
154,34,598554,500,795,0,609216,36900,0,15,3,2,1,69480,15440,0,54040,2014,1
245,44,303987,1000,1168,0,452787,69100,0,23,3,0,3,44280,7380,3690,33210,1997,0
119,32,343161,1000,994,0,468767,0,-49500,12,1,0,3,56300,5630,11260,39410,2011,0
215,42,519312,500,1849,0,435489,0,-49000,20,3,2,2,68520,11420,5710,51390,2003,1
295,42,132902,2000,1642,5000000,450149,62400,0,16,3,0,0,59130,6570,6570,45990,2006,1
254,39,332867,500,1363,0,458364,35700,0,6,3,2,2,82320,13720,6860,61740,1995,1
107,31,356590,500,1239,7000000,476458,43400,-91200,12,1,0,1,89700,13800,13800,62100,2009,1
478,64,346002,500,835,0,602433,59600,0,17,3,1,1,33930,0,3770,30160,1998,0
128,30,500533,1000,1061,0,478575,43300,-66200,8,1,0,3,68530,12460,6230,49840,1997,0
338,49,348209,1000,1279,0,449718,0,-51500,13,1,0,1,4300,860,860,2580,2004,0
271,42,486676,500,1105,0,463181,56200,-50000,12,2,2,3,68310,12420,6210,49680,2003,1
222,41,260845,2000,1056,0,441992,37800,-50300,7,1,0,2,61290,6810,6810,47670,1995,1
199,41,657045,1000,896,0,452597,0,0,10,1,1,2,30100,3010,0,27090,1999,0
215,37,761189,500,1633,0,614417,0,-42900,7,3,2,0,57120,9520,4760,42840,2002,0
192,40,175177,1000,1406,0,472895,0,0,18,3,1,0,42930,9540,4770,28620,2005,0
120,35,116700,1000,1426,0,475847,78300,0,22,3,2,0,51210,11380,5690,34140,2010,0
270,45,166264,1000,1038,0,476978,0,-19700,18,3,1,1,89400,14900,7450,67050,1998,0
319,47,527945,500,1307,0,600648,0,0,22,3,0,2,59730,10860,10860,38010,2005,0
194,39,627540,1000,1489,6000000,608335,0,-45000,15,1,2,2,8060,1240,1240,5580,2004,0
227,38,279422,500,977,0,471600,0,0,16,1,1,2,72200,14440,7220,50540,2013,1
137,31,484200,2000,1340,0,441175,52700,-40600,6,3,1,2,50800,10160,10160,30480,2005,0
244,40,645258,2000,1268,5000000,603123,0,0,10,1,2,1,6600,660,1320,4620,2005,0
78,29,694662,1000,1234,6000000,457767,0,0,3,1,2,2,7500,750,1500,5250,2002,0
200,35,960680,2000,1318,0,618498,57300,-80600,13,1,0,3,6490,1180,1180,4130,2002,0
284,48,498140,2000,770,0,605486,0,-44200,16,2,2,3,60940,5540,11080,44320,2013,1
275,41,498875,2000,1515,0,617970,35700,0,13,3,0,1,58300,5830,11660,40810,2007,0
153,34,798177,1000,874,4000000,432934,800,0,9,3,2,1,68400,11400,11400,45600,2007,0
134,32,614763,500,1612,0,456762,36400,0,2,1,2,1,64240,11680,11680,40880,2015,0
31,36,679370,2000,1318,9000000,601748,0,-78600,9,1,0,1,4700,940,470,3290,2002,0
41,25,958857,1000,1227,0,607763,0,-56100,12,3,2,0,45120,0,5640,39480,2011,1
127,29,686816,2000,1326,5000000,436973,0,0,12,2,1,1,66950,10300,10300,46350,1995,0
61,23,127754,2000,1137,4000000,471300,0,-62400,14,1,0,3,98340,8940,17880,71520,2004,1
207,42,918629,2000,1323,0,453277,55200,0,9,1,0,1,5900,590,590,4720,2007,0
219,43,731450,1000,1483,0,465100,90700,-20800,3,3,1,1,70680,5890,11780,53010,2009,0
271,42,307447,500,1515,0,603248,0,0,21,3,1,0,93720,17040,8520,68160,2005,0
80,25,992145,2000,1075,5000000,601112,67700,-58400,5,1,2,0,6930,1260,630,5040,2001,0
325,47,900628,1000,1690,0,438830,61500,0,11,1,0,3,72930,6630,6630,59670,2006,1
29,25,235220,2000,1353,0,464959,0,-71700,4,4,1,2,64890,7210,7210,50470,2013,1
295,48,740019,1000,1149,0,439787,0,0,6,1,1,2,5400,900,900,3600,1999,0
239,42,246882,1000,970,0,464839,0,0,10,1,0,0,5600,700,700,4200,2007,0
269,41,797613,500,1464,0,448984,0,-72300,23,1,0,0,79300,15860,15860,47580,2007,0
80,27,193442,1000,1474,0,440327,0,0,13,1,1,0,52800,10560,5280,36960,2004,0
279,41,389238,500,1497,0,460742,37300,-31700,16,3,2,3,28800,0,3600,25200,2013,0
165,33,760179,1000,1427,0,446895,35300,-58100,3,1,1,1,2970,330,330,2310,2008,0
350,54,939905,500,1495,0,609374,50500,0,15,3,0,0,93480,15580,7790,70110,2014,0
295,49,872814,500,1142,0,451672,34300,-24300,4,1,1,3,4320,480,480,3360,2002,0
464,61,632627,1000,1125,0,604450,0,-56400,6,3,0,2,79800,6650,19950,53200,2000,1
118,28,283414,2000,1207,0,432896,0,-57000,22,2,1,0,74200,7420,14840,51940,1997,0
298,47,163161,2000,1339,0,618929,28800,0,1,1,0,0,70590,10860,10860,48870,2000,1
87,31,853360,1000,1074,0,451312,0,-47500,16,3,0,3,60940,5540,11080,44320,2006,1
261,42,776860,500,1338,0,605141,0,0,18,1,1,2,74700,7470,14940,52290,2010,0
453,60,149367,500,1299,6000000,459504,52600,-38800,0,1,0,0,70000,14000,7000,49000,2015,1
210,41,395269,500,1223,0,432781,0,-41000,12,3,2,0,81070,14740,14740,51590,2001,0
168,32,981123,1000,1060,0,452748,0,-40600,13,2,1,1,57720,14430,9620,33670,2007,0
390,51,143626,2000,1124,0,618316,0,0,9,1,1,1,7080,1180,1180,4720,2001,0
258,46,648397,1000,1110,10000000,455365,34400,-56800,14,3,0,1,47700,4770,9540,33390,1997,1
107,31,154982,2000,1374,0,470603,62000,-63100,16,1,0,3,51260,9320,9320,32620,2002,0
225,41,330591,2000,1104,0,475292,41200,-36200,20,3,2,2,70400,6400,12800,51200,2011,1
164,38,319232,2000,1270,0,467743,44300,0,4,1,1,3,90000,18000,9000,63000,2015,0
245,39,531640,500,965,8000000,460675,58000,0,7,3,0,1,72820,13240,6620,52960,2010,0
255,41,368050,2000,1167,4000000,618123,0,0,22,1,2,0,69300,13860,13860,41580,2000,0
206,36,253791,500,1625,4000000,607452,0,-53700,11,1,2,1,76560,12760,12760,51040,2008,1
203,38,155724,500,1394,0,606352,0,0,7,1,0,1,55440,0,6160,49280,1999,1
22,25,824540,2000,1053,0,603527,51100,0,0,4,1,0,77130,8570,17140,51420,1995,0
211,35,717392,500,1041,0,445601,0,0,1,1,1,1,42000,7000,7000,28000,2011,0
206,39,965768,1000,1302,6000000,603948,47200,-69700,12,3,2,3,36300,3300,9900,23100,2013,0
166,38,414779,2000,1589,0,435758,59600,-32100,8,1,0,0,40320,5760,5760,28800,2001,0
165,32,428230,500,1399,0,611586,70500,0,9,1,2,0,3960,330,660,2970,1998,0
274,43,517240,2000,1352,0,465263,40700,-47300,22,1,0,3,63840,10640,10640,42560,2006,1
81,28,469874,1000,1139,6000000,617858,42400,0,0,3,1,2,44730,4970,4970,34790,2000,1
280,45,718428,1000,1398,0,607889,57900,0,0,3,1,2,84720,14120,14120,56480,1999,0
194,39,620215,500,823,0,455689,0,0,3,3,2,2,61500,6150,12300,43050,2012,0
112,27,618659,500,965,0,450341,60000,-54800,21,3,0,1,51000,8500,8500,34000,2013,0
24,33,649082,1000,1923,0,431277,0,-45200,0,1,2,1,46800,4680,9360,32760,2002,0
93,32,437573,2000,1625,0,454656,65300,-65600,16,1,1,1,78120,17360,8680,52080,2006,0
171,34,964657,2000,1277,0,605169,84900,0,14,1,1,2,69200,13840,6920,48440,1996,1
200,40,932502,1000,1439,0,444822,45300,-20400,9,1,0,0,3690,410,410,2870,2015,0
120,28,434507,1000,1281,0,447442,68900,0,9,3,0,3,65500,6550,6550,52400,2010,0
325,46,935277,500,1349,0,474360,46300,-77500,21,3,1,2,76120,13840,6920,55360,1999,0
124,32,756054,1000,1198,0,447925,0,-43200,19,3,0,2,73560,12260,12260,49040,1995,0
211,35,682387,2000,1221,0,451586,76000,0,2,1,0,1,52030,9460,4730,37840,2008,0
287,41,456604,2000,969,0,477519,0,-49000,9,1,2,3,5170,470,940,3760,2001,0
122,34,139872,1000,1221,0,603639,58600,-28700,5,1,2,1,8190,1890,1260,5040,2013,0
22,29,354105,2000,1239,6000000,463993,0,-56200,14,1,2,3,70800,7080,14160,49560,2012,1
106,31,165485,2000,1321,0,441491,54100,0,20,3,0,3,45630,5070,5070,35490,2011,0
398,58,515050,500,991,0,469429,0,-57900,18,1,2,1,99320,7640,15280,76400,2002,1
214,41,795686,500,1399,4000000,472214,0,-57100,13,3,2,0,64000,12800,6400,44800,1996,1
209,38,395983,500,1355,0,614945,58100,0,21,1,1,1,47300,4730,4730,37840,2014,0
82,27,119513,1000,1385,0,476727,13100,-38200,14,1,2,3,71680,8960,8960,53760,2007,1
193,41,217938,500,847,0,438555,0,0,1,1,1,0,112320,17280,17280,77760,2011,1
134,32,203914,1000,1000,0,440961,0,0,17,1,1,0,82720,7520,15040,60160,2014,0
288,45,565157,1000,1047,0,616714,0,0,4,3,2,1,48060,10680,5340,32040,2009,0
104,32,904191,500,1158,0,434247,31900,-44600,23,3,1,3,63570,9780,9780,44010,2006,1
431,54,419510,1000,1372,0,436547,17600,0,13,3,2,3,63240,10540,10540,42160,1997,0
101,33,575000,1000,1053,7000000,619540,52000,-44500,20,3,1,3,54240,9040,9040,36160,2013,1
375,50,120485,1000,1275,0,466283,0,0,16,1,2,3,37280,0,0,37280,1996,1
461,61,781181,2000,1403,0,449557,0,0,10,3,2,1,72100,7210,14420,50470,2006,0
428,59,299796,500,1344,7000000,473329,0,0,8,1,2,3,6500,1300,650,4550,2013,0
45,38,589749,1000,1198,0,470117,29000,0,17,3,2,0,78240,13040,13040,52160,2013,0
136,29,854021,500,1203,0,600702,62500,-66900,9,1,2,0,6200,1240,620,4340,1999,0
216,36,454086,1000,1152,0,615921,39600,-82400,0,1,2,3,6160,560,1680,3920,2014,0
278,48,139484,2000,1143,7000000,475588,0,-54000,12,1,2,0,76050,11700,11700,52650,1997,0
295,48,678849,1000,1332,0,609409,49700,-59100,20,2,2,1,86060,13240,13240,59580,2002,0
112,30,346940,1000,1167,0,479852,47700,-59300,3,1,2,0,107900,10790,21580,75530,1997,1
122,34,985436,500,1495,0,452249,38100,-31400,18,3,2,0,99990,18180,18180,63630,2011,0
108,29,237418,1000,1338,0,441536,71400,0,4,3,2,2,61380,11160,5580,44640,2012,0
14,28,335780,2000,1588,0,601617,0,-26900,18,1,2,1,71280,12960,12960,45360,2012,1
298,45,491392,1000,1362,0,442598,0,-51100,18,3,0,0,64000,12800,6400,44800,1999,0
276,46,140880,500,1449,0,430987,0,-50000,7,1,0,1,5940,660,660,4620,2015,0
47,37,962591,2000,1242,0,430104,75400,0,18,1,1,0,6700,670,670,5360,2011,0
222,42,922565,500,1125,0,612904,0,0,23,3,0,0,51740,11940,7960,31840,2006,0
119,28,288580,2000,1080,0,430886,88800,0,1,1,0,1,53600,6700,6700,40200,2007,1
73,29,154280,1000,1448,0,467947,35100,-59900,15,3,1,0,44910,4990,4990,34930,2001,0
8,31,425973,500,1229,4000000,604804,0,-88300,2,3,0,2,48100,11100,7400,29600,2014,0
294,44,477177,1000,1226,0,460308,53900,0,3,1,0,1,6100,610,1220,4270,2002,0
324,46,648509,2000,898,6000000,618862,0,-41300,13,1,1,0,79600,15920,15920,47760,2011,0
155,34,914815,500,1707,0,462479,0,0,1,1,1,1,77040,8560,8560,59920,1998,0
261,45,249048,1000,1254,0,457555,0,-45100,16,1,0,1,62590,11380,11380,39830,2003,0
245,40,144323,500,885,0,459984,27000,-58900,0,1,0,1,85150,13100,13100,58950,1998,0
235,39,651861,500,1047,4000000,434982,0,-31700,1,1,2,1,4950,450,900,3600,2010,0
53,36,125324,2000,1713,0,614233,72200,0,17,3,2,0,51100,10220,5110,35770,2006,0
426,54,398102,2000,1098,0,605258,29600,-22300,13,1,2,3,100800,16800,16800,67200,1997,0
111,27,514065,500,1364,4000000,604377,51100,0,12,1,2,3,90970,16540,16540,57890,2009,0
86,26,391652,500,1383,7000000,434923,0,-30300,11,1,1,1,81840,14880,7440,59520,2011,1
296,46,922167,1000,1141,7000000,476456,0,0,18,1,0,2,54900,5490,5490,43920,2013,0
125,35,442795,500,1055,7000000,446788,0,-51300,17,1,2,3,88660,8060,16120,64480,2007,1
177,34,226330,2000,1058,0,477382,0,-57700,22,3,1,1,18000,2250,2250,13500,2009,0
238,39,134430,2000,1488,0,600275,0,-39200,9,1,1,3,5500,1100,550,3850,2010,0
81,25,524230,500,920,5000000,461958,51000,-67900,11,3,1,0,73920,13440,6720,53760,2003,1
128,28,438817,1000,987,0,472720,62700,0,11,1,0,2,101860,18520,18520,64820,2007,0
449,57,293794,2000,1441,0,442395,25000,0,8,1,0,1,5390,980,980,3430,2008,0
252,39,868283,1000,1086,0,455340,68500,-57500,18,1,1,2,50490,5610,5610,39270,2001,0
359,47,828890,2000,1368,0,613247,0,0,13,1,0,3,55500,5550,11100,38850,2012,0
19,32,882920,1000,1216,0,454985,42900,-90200,8,1,1,1,7040,1280,640,5120,2015,0
73,26,918777,2000,1191,4000000,468813,29300,0,9,3,0,1,40160,5020,0,35140,2003,0
285,44,212580,1000,1594,0,452747,0,0,17,2,2,3,55680,6960,6960,41760,2006,0
196,36,602410,2000,1463,0,615611,0,0,3,1,1,1,5300,530,530,4240,2001,1
223,43,976971,500,1734,0,451400,0,0,6,1,0,3,5200,650,650,3900,2006,0
328,48,630226,500,1411,0,464874,45100,-32800,17,1,2,1,59400,5940,11880,41580,2014,0
285,43,171254,2000,1513,0,452496,47600,0,7,1,1,1,2520,280,280,1960,1997,0
30,31,247116,2000,1153,0,430714,0,0,9,1,2,1,5760,960,960,3840,2011,0
342,49,505969,500,1723,0,472634,63100,-13800,3,1,2,0,76700,7670,7670,61360,2006,0
219,39,653864,2000,1281,7000000,608371,0,0,6,1,0,2,5920,740,740,4440,2015,0
468,62,586367,500,1012,0,468168,0,0,7,3,0,3,64350,7150,7150,50050,2009,0
241,39,896890,2000,1042,0,464107,0,0,21,3,1,2,19080,4240,2120,12720,1995,0
223,43,650026,500,1235,0,466959,66400,-34400,14,1,2,1,54400,5440,5440,43520,2011,0
128,32,547744,2000,769,0,443522,0,-39300,0,1,1,0,59800,5980,5980,47840,1999,1
124,29,598124,500,1302,0,441726,0,0,14,3,0,3,72000,7200,7200,57600,2005,0
343,48,436126,500,1452,3000000,473412,0,0,13,4,2,3,65070,7230,14460,43380,2003,0
404,53,739447,500,767,0,466201,25500,-36700,8,1,0,1,8800,1760,880,6160,2002,0
63,24,427484,2000,1621,0,469621,0,0,7,1,2,0,6120,1020,1020,4080,2015,0
210,37,218684,2000,1048,0,466676,59900,0,9,1,1,2,7080,1180,590,5310,1999,0
335,50,565564,1000,1538,6000000,615346,62200,-31400,12,3,2,3,34320,8580,4290,21450,2009,0
11,40,743163,2000,1218,0,440106,24000,0,6,3,1,0,53460,9720,9720,34020,2004,1
142,33,604614,2000,1363,5000000,450332,0,0,11,1,1,3,81360,6780,13560,61020,2009,1
272,43,509928,1000,1279,0,615226,0,0,5,3,1,2,81070,7370,14740,58960,2006,1
69,26,593390,2000,925,0,437688,0,0,14,1,2,2,63120,5260,10520,47340,2008,0
38,28,970607,1000,1019,0,437387,0,-39700,17,1,2,1,7200,1440,720,5040,2004,0
328,46,174701,500,1315,0,458139,24800,0,0,1,2,3,70290,12780,6390,51120,1998,1
281,43,529398,1000,1515,6000000,443191,0,0,21,3,1,0,60190,9260,9260,41670,1999,0
246,44,940942,2000,1649,0,613647,0,-58600,18,1,1,2,61380,11160,5580,44640,2009,1
298,49,442677,500,1451,0,460820,47800,0,17,1,2,2,28100,2810,5620,19670,2012,0
330,50,365364,1000,978,0,431121,0,0,19,1,0,0,49060,8920,8920,31220,1995,0
362,50,114839,500,1198,4000000,619735,53000,-72500,17,3,1,1,57060,6340,6340,44380,1995,0
241,38,872734,2000,1003,0,470485,0,0,23,3,0,3,77880,12980,12980,51920,2008,0
245,41,267885,2000,1212,0,620473,24400,-60500,4,1,0,1,73500,7350,14700,51450,1999,0
371,52,740505,1000,1243,7000000,449800,0,-37100,2,2,2,0,88920,6840,13680,68400,2010,0
343,52,629663,1000,1053,0,602402,0,0,2,1,0,2,47630,12990,4330,30310,2005,1
377,53,839884,500,1694,0,452456,0,-64000,10,3,1,3,59040,6560,6560,45920,2015,0
154,37,241562,1000,2048,0,439269,0,-67800,2,1,0,3,79530,14460,7230,57840,2000,0
166,34,405533,1000,1084,0,617774,65600,-68200,18,1,0,2,53680,4880,4880,43920,2005,0
298,46,667021,1000,1138,6000000,477678,36900,-55000,18,1,2,3,33550,3050,6100,24400,2005,0
235,42,511621,500,1073,0,444913,39900,-60200,7,4,2,1,69100,6910,6910,55280,2006,0
172,35,476923,2000,1219,0,456602,63600,-68700,19,3,2,0,79750,14500,14500,50750,1999,0
27,28,735822,2000,1372,0,451560,0,-32500,10,3,0,2,53600,5360,10720,37520,2015,1
428,54,492745,2000,1506,0,453407,0,-24400,16,3,1,0,76560,12760,6380,57420,2009,0
99,32,130930,1000,1058,3000000,618655,0,0,17,1,1,1,41130,4570,4570,31990,1999,0
107,26,261119,2000,932,0,612550,40600,0,2,3,2,3,78650,14300,7150,57200,1996,1
272,41,280709,2000,1608,0,466718,33300,-10600,19,1,1,1,71060,6460,12920,51680,2010,0
151,37,898573,1000,1729,0,617947,54000,0,0,1,1,1,38830,3530,3530,31770,1999,0
249,43,547802,1000,1518,0,606238,0,0,16,1,0,0,53500,5350,5350,42800,2015,0
177,38,600845,2000,1540,0,463842,0,-74500,20,1,2,0,73700,7370,7370,58960,2001,1
190,40,390381,2000,965,0,610354,36900,-53700,10,1,2,1,6300,630,630,5040,2001,0
174,36,629918,2000,1279,0,461328,53200,-53800,21,3,2,2,65400,10900,10900,43600,2012,0
95,28,208298,1000,774,0,458727,0,-70300,3,1,1,2,3200,640,320,2240,2014,0
371,51,513099,1000,1532,0,452587,60300,-24700,7,1,0,3,75400,7540,15080,52780,2012,1
2,28,184938,1000,1341,0,433184,0,0,19,1,0,2,58140,6460,6460,45220,2008,0
269,44,187775,500,1298,4000000,451280,0,-41400,15,3,0,1,98670,15180,15180,68310,2010,1
101,27,326322,1000,433,0,603269,25900,0,7,1,0,3,5900,1180,590,4130,2009,0
94,30,146138,2000,1026,0,442632,0,-52600,19,1,1,3,64100,6410,6410,51280,2001,0
117,28,336047,500,1265,0,447300,47500,-32500,13,2,0,1,55440,5040,10080,40320,2009,1
111,27,532330,500,1460,5000000,441783,0,0,2,3,1,2,80850,7350,14700,58800,2011,1
242,40,118137,500,1239,0,468702,0,-44600,5,1,1,1,7480,680,680,6120,1998,0
440,61,212674,500,1051,0,467942,41500,-70200,21,1,2,3,53640,5960,5960,41720,2004,1
20,23,935596,1000,1712,0,463678,0,0,21,3,2,2,63250,5750,11500,46000,2002,1
461,57,737593,500,865,7000000,615220,0,0,7,3,0,1,59040,9840,9840,39360,1995,0
208,36,812025,500,1153,0,432711,0,0,16,3,1,0,50500,10100,5050,35350,2004,0
279,43,168151,2000,1281,0,463583,0,0,13,1,0,1,57690,6410,12820,38460,2010,1
244,40,594739,500,1343,0,439502,0,0,2,1,1,3,5940,660,660,4620,2014,0
134,30,843227,2000,1443,0,613287,0,0,19,3,0,2,47790,5310,5310,37170,1995,1
122,29,283925,1000,1630,0,620104,0,-47100,17,1,0,1,3850,350,350,3150,2014,0
156,31,475588,2000,1134,0,446895,0,0,3,1,2,0,59000,5900,5900,47200,2013,1
232,43,751905,500,1484,8000000,431531,0,-33600,17,3,0,1,70600,7060,14120,49420,2013,1
244,40,226725,2000,1305,7000000,605408,0,-45000,5,3,1,1,61490,5590,11180,44720,2001,0
84,30,942504,2000,1036,0,457551,44400,-51500,9,1,1,0,57640,5240,10480,41920,2010,0
394,57,395572,500,1401,0,619892,51500,0,9,1,1,0,6890,1060,1060,4770,1999,0
246,45,889883,1000,1665,0,445853,34400,-33100,9,3,2,2,53280,11840,5920,35520,2006,1
35,29,818167,2000,654,0,475483,52100,-46900,22,3,0,0,78300,15660,7830,54810,2009,0
156,37,277767,500,1080,0,606290,0,-61000,15,3,0,3,41490,4610,4610,32270,2001,0
195,36,842618,2000,1346,0,611852,57800,-53300,14,3,2,3,68970,12540,6270,50160,2007,0
369,55,577810,2000,1590,0,444734,55400,0,6,3,2,0,85300,17060,8530,59710,2003,0
271,40,873114,1000,1252,0,433683,71200,0,6,1,0,0,3080,560,280,2240,2012,0
332,47,994538,2000,1083,0,448882,91900,0,22,4,2,0,71760,11040,11040,49680,2010,1
107,26,727792,500,975,0,466838,62800,0,14,3,1,0,59700,11940,11940,35820,2002,0
217,39,522506,2000,1400,0,605490,49900,-19800,16,3,0,2,64920,10820,10820,43280,1997,0
243,43,367595,500,1308,0,466137,0,-75700,10,3,0,1,37530,4170,4170,29190,2008,0
296,42,586104,2000,1219,0,466970,53100,-63400,9,3,1,2,64080,7120,7120,49840,2012,0
264,41,424862,500,1411,0,474801,55600,0,4,1,1,0,60390,10980,5490,43920,2004,1
108,33,512813,2000,694,0,450703,0,0,6,3,0,1,64350,5850,11700,46800,2011,1
32,38,356768,500,1007,6000000,478172,0,0,15,3,2,1,70900,14180,7090,49630,1997,0
259,39,330506,1000,1422,0,604668,0,-83900,12,3,1,3,46560,7760,7760,31040,2012,0
186,33,779075,1000,1348,0,469429,37600,-37600,3,1,2,1,4730,860,860,3010,2013,1
201,40,799501,2000,1316,0,471806,0,0,14,1,0,0,6820,1240,1240,4340,2003,0
436,58,987905,2000,1407,5000000,475705,47400,-27600,10,1,0,2,59900,11980,5990,41930,1997,1
189,36,967756,2000,1389,0,459122,0,-49400,17,3,1,3,79560,13260,13260,53040,2009,0
105,33,830414,500,1311,0,476737,0,-40900,8,1,0,1,70290,12780,6390,51120,2008,0
163,31,127313,1000,1005,6000000,460359,26900,0,14,3,2,0,63910,5810,11620,46480,1999,0
219,40,786957,500,1135,0,452735,68700,0,6,1,1,0,6400,640,640,5120,1997,0
